card_name,perk,value,frequency,keywords,expires,notes,used
Amex Platinum,Uber Cash,$200/yr,Monthly,"Uber, Uber Eats, rideshare",Monthly ($15/mo + $20 Dec bonus),$15/mo + $20 bonus in December,
Amex Platinum,Uber One Credit,$120/yr,Annual,"Uber One, Uber",Dec 31,Statement credit for auto-renewing Uber One membership,
Amex Platinum,$600 Hotel Credit (FHR/THC),$300 x2,Semi-annual,"hotels, Fine Hotels, Hotel Collection, Amex Travel",Jun 30 / Dec 31,$300 per half. Book prepaid via Amex Travel. THC requires 2-night min,
Amex Platinum,$400 Resy Dining Credit,$100 x4,Quarterly,"Resy, restaurants, dining",Mar 31 / Jun 30 / Sep 30 / Dec 31,Enrollment required. Use card at Resy restaurants,
Amex Platinum,$300 Lululemon Credit,$75 x4,Quarterly,"Lululemon, athleisure, clothing",Mar 31 / Jun 30 / Sep 30 / Dec 31,Enrollment required. Retail + online (not outlets),
Amex Platinum,$300 Digital Entertainment Credit,$25/mo,Monthly,"streaming, Disney+, Hulu, ESPN+, YouTube Premium, YouTube TV, NYT, Peacock, Paramount+, Wall Street Journal",Monthly,Enrollment required. $25/mo across eligible services,
Amex Platinum,$209 CLEAR+ Credit,$209,Annual,"CLEAR, CLEAR+, airport, security",Dec 31,Statement credit for CLEAR+ membership,
Amex Platinum,Global Entry / TSA PreCheck Credit,$120,Every 4 years,"Global Entry, TSA PreCheck",,,
Amex Platinum,$200 Oura Ring Credit,$200,Annual,"Oura, Oura Ring, fitness, wearable",Dec 31,Purchases on ouraring.com,
Amex Platinum,$300 Equinox Credit,$300,Annual,"Equinox, gym, fitness",Dec 31,Enrollment required. Covers Equinox+ annual membership ($300),
Amex Platinum,$50 Saks Credit x2,$50 x2,Semi-annual,"Saks, Saks Fifth Avenue, shopping",Jun 30 / Dec 31,"Enrollment required. $50 Jan-Jun, $50 Jul-Dec",
Amex Platinum,Centurion Lounge Access,Free,Ongoing,"airport, lounge, Centurion, Amex lounge",,"Guests $50/adult, $30/child (free if $75k annual spend)",
Amex Platinum,Hilton Honors Gold Status,Free,Ongoing,"Hilton, hotels, status",,"Enrollment required. Room upgrades, 80% bonus points, F&B credit",
Amex Platinum,Marriott Bonvoy Gold Elite Status,Free,Ongoing,"Marriott, hotels, status",,"Complimentary. Room upgrades, late checkout, bonus points",
Hilton Honors Aspire,$400 Hilton Resort Credit,$200 x2,Semi-annual,"Hilton, resort, resort credit",Jun 30 / Dec 31,$200 per half at participating Hilton Resorts,
Hilton Honors Aspire,$200 Airline Flight Credit,$50 x4,Quarterly,"airline, flights, airline credit",Mar 31 / Jun 30 / Sep 30 / Dec 31,$50/quarter on airline or Amex Travel purchases,
Hilton Honors Aspire,$209 CLEAR+ Credit,$209,Annual,"CLEAR, CLEAR+, airport, security",Dec 31,Statement credit for CLEAR+ membership,
Hilton Honors Aspire,Annual Free Night Reward,1 night,Annual,"Hilton, free night, hotel",Card anniversary,Any standard room at any Hilton property,
Hilton Honors Aspire,Diamond Status,Free,Ongoing,"Hilton, Diamond, status, hotels",,"Top-tier: upgrades, breakfast/dining credit, exec lounge, bonus points",
Hilton Honors Aspire,National Emerald Club Executive Status,Free,Ongoing,"National, rental car, car rental",,Enrollment required. Executive Area access,
Hilton Honors Aspire,$100 Waldorf Astoria/Conrad Credit,$100,Per stay,"Waldorf, Conrad, Hilton, hotel credit",,Book 2+ nights via HiltonHonorsAspireCard.com,
Blue Cash Preferred,Return Protection,Free,Ongoing,"returns, purchase protection",,Return eligible items within 90 days for refund up to $300/item,
Citi Strata Premier,$100 Annual Hotel Credit,$100,Annual,"hotels, Citi Travel, hotel credit",Dec 31,$100 off a $500+ hotel stay via CitiTravel.com,
Citi Strata Premier,Trip Cancellation/Interruption,Free,Ongoing,"travel, insurance, trip",,,
Citi Strata Premier,Rental Car Insurance,Free,Ongoing,"rental car, car rental, insurance",,Decline rental company CDW,
Citi Strata Premier,Citi Reserve Hotels Benefits,Free,Per stay,"hotels, Reserve hotels, Citi Travel",,"Breakfast for 2, $100 experience credit, WiFi, upgrades",
